dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,EEC1,mag,max,2022-11-18 10:01:54,0.5451,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-19 11:44:05,0.5661,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-19 18:38:28,0.5448,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-19 20:56:15,0.529,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-20 04:40:53,0.5103,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-24 19:14:32,0.5355,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-25 19:33:54,0.5154,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-27 19:57:43,0.6527,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-28 17:04:23,0.5524,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-29 00:25:05,0.5395,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-30 03:46:40,0.5341,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-30 05:04:15,0.5294,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-30 08:50:36,0.5108,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-30 10:09:09,0.5078,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-30 12:57:40,0.5445,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-01 14:06:43,0.5077,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-01 16:03:11,0.5467,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-01 23:26:28,0.527,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-02 05:07:02,0.5136,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-02 18:05:24,0.5095,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-04 04:34:59,0.5727,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-04 14:05:02,0.5829,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-09 23:50:31,0.543,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-10 01:37:00,0.5294,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-10 04:51:17,0.5514,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-10 11:41:02,0.5131,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-10 20:39:17,0.5074,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-11 11:21:13,0.5855,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-12 13:42:22,0.6274,0.504,0.536,True
ingv,EEC1,mag,max,2022-12-13 00:10:13,0.5324,0.504,0.536,False
ingv,EEC1,mag,max,2022-12-13 06:47:28,0.5355,0.504,0.536,False
