dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
ingv,EEC1,sim2,template2,0.33933626936516276,0.10160054249457436,0.2601238443415972,0.2815397036864805,42.92287512886588,False,False,False
ingv,EEC1,sim4,template1,0.4479944806426824,0.3605715620990041,0.61169316962075,0.4099866189150921,146.9414565433863,False,False,True
ingv,EEC1,sim1,template2,0.04663938297502531,0.3815036838651824,0.44832799529011697,0.28263856559233397,174.87286816639633,False,False,False
ingv,EEC1,sim1,template2,0.2595514118546745,0.2164038200577195,0.06851750609277969,0.29475912407731464,81.69587952038559,False,False,False
ingv,EEC1,sim3,template1,0.12495264826906097,0.41554611351840753,0.26578107356886194,0.33511001837964055,107.06537708551451,False,False,False
ingv,EEC1,sim2,template1,0.39717263560315313,0.17586374182265294,0.26499903022088345,0.3271495158813935,129.30389588580925,False,False,False
ingv,EEC1,sim1,template2,0.420182102760327,0.21047571459351555,0.11029161587480348,0.3986541031517993,97.46968132227329,False,False,False
ingv,EEC1,sim2,template1,0.1956597577079584,0.5874388255312099,0.4931173941141151,0.4382963256861058,101.99594112287002,False,True,True
ingv,EEC1,sim1,template3,0.3193705213622116,0.3858496286758952,0.08105741923177595,0.3193717948688326,36.88155659668929,False,False,False
ingv,EEC1,sim3,template1,0.301684909041151,0.35151910069712466,0.029764198487903785,0.3281895452493012,78.84351770151962,False,False,False
ingv,EEC1,sim4,template3,0.17857343064684508,0.4312954085908288,0.22055340570788612,0.2936167298353768,141.87677350649597,False,False,False
ingv,EEC1,sim1,template2,0.1340401841329645,0.4202264089868944,0.2265929829995738,0.31168081601751946,152.4475097776594,False,False,False
ingv,EEC1,sim3,template2,0.03170892643416833,0.3939059994061075,0.252840616546917,0.2810253794720016,111.3992882669088,False,False,False
ingv,EEC1,sim2,template3,0.34510041700139865,0.3508825816221798,0.49234327735158684,0.3467923632716571,16.60775917128515,False,False,True
ingv,EEC1,sim2,template3,0.4262954113977903,0.13551735852300884,0.1273751013053469,0.30871512445566013,134.18214190725413,False,False,False
ingv,EEC1,sim4,template3,0.33392482637702625,0.3027065652412145,0.39752854852165004,0.33349927113104727,136.38511125013753,False,False,False
ingv,EEC1,sim3,template1,0.4263752387299586,0.20883607700282136,0.31362245825343193,0.3482935929327496,54.72728770226551,False,False,False
ingv,EEC1,sim2,template3,0.3281407447366104,0.39373562647460625,0.13249233881141695,0.3599842973326226,104.35603208367074,False,False,False
