dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,ECPN,sim4,template3,0.6154500849284519,0.1649054797485442,0.273664915622679,0.5414140584409313,89.4302185444694,True,False,False,2023-02-08 09:54:58
ingv,ECPN,sim4,template2,0.14584167098763226,0.5166027608578141,0.5128858522135502,0.4063705761303714,25.368543828498808,False,False,False,2022-12-04 01:25:58
ingv,ECPN,sim4,template3,0.34736426561941297,0.5113276106769057,0.5111339323481313,0.44334246294009466,39.52964981544395,False,False,False,2022-12-24 18:45:11
ingv,ECPN,sim3,template2,0.35113113139304936,0.49105376816118707,0.4927490815005489,0.4472145875222378,45.58876975097474,False,False,False,2023-02-12 03:25:10
ingv,ECPN,sim2,template3,0.35774222601205913,0.6102455323552768,0.6172199644276202,0.5420313667685964,37.275313594418684,False,False,False,2022-12-24 11:37:26
ingv,ECPN,sim3,template3,0.4462669087526713,0.6720916242228844,0.6792583418764183,0.54564605046442,50.53869683672811,False,True,True,2023-01-04 12:07:18
ingv,ECPN,sim4,template2,0.2931046403693633,0.6225861021714596,0.6163198043475944,0.5292470491658464,12.855154495861774,False,False,False,2022-12-23 11:45:23
ingv,ECPN,sim2,template3,0.4048071464209139,0.5542500950224294,0.5423546003896667,0.5023815130092638,163.98565442238976,False,False,False,2023-01-10 17:36:40
ingv,ECPN,sim2,template1,0.5514419917398125,0.6130632358260955,0.5866315630825066,0.5846652203763381,155.8265907917118,True,True,True,2023-01-30 23:15:59
ingv,ECPN,sim3,template3,0.010236804088790798,0.6525331798880907,0.6550266386364658,0.3758644457264798,167.28059024246718,False,False,False,2023-01-03 22:24:17
ingv,ECPN,sim2,template3,0.05857752188430459,0.6593136421646938,0.6581477857227156,0.5292150158674465,168.87753789281527,False,True,True,2023-01-10 20:52:41
ingv,ECPN,sim4,template2,0.34103974407057425,0.6034623784813689,0.6003174606293068,0.5221156935004811,24.299419625897166,False,False,False,2022-12-13 08:00:03
