dataset,station,component,configuration,template,floor_detect,floor_signif,n_detect,n_signif,max_r,mean_r
experiment,EC1,mag,sim1,template3,0.5336,0.5731,2,0,0.5726,0.5551
experiment,EC1,mag,sim1,template4,0.3008,0.3149,0,0,,
experiment,EC1,mag,sim2,template1,0.5194,0.5433,8,4,0.6268,0.5644
experiment,EC1,mag,sim2,template2,0.5092,0.535,3,1,0.5517,0.5262
experiment,EC1,mag,sim2,template3,0.5167,0.5568,1,1,0.5755,0.5755
experiment,EC1,mag,sim2,template4,0.3091,0.3242,1,1,0.3303,0.3303
experiment,EC1,mag,sim3,template1,0.5073,0.5486,4,2,0.5729,0.5434
experiment,EC1,mag,sim3,template2,0.5965,0.622,2,0,0.6107,0.6064
experiment,EC1,mag,sim3,template3,0.6062,0.6572,4,1,0.659,0.6284
experiment,EC1,mag,sim3,template4,0.3782,0.4111,2,1,0.4305,0.412
experiment,EC1,mag,sim4,template1,0.5592,0.6091,4,2,0.7508,0.6315
experiment,EC1,mag,sim4,template2,0.6012,0.6469,3,2,0.6646,0.6472
experiment,EC1,mag,sim4,template3,0.5511,0.5882,5,2,0.7,0.6081
experiment,EC1,mag,sim4,template4,0.3888,0.4079,3,2,0.457,0.4221
experiment,EC1,vec,sim1,template1,0.3863,0.4175,4,0,0.4063,0.3992
experiment,EC1,vec,sim1,template2,0.3717,0.3953,2,1,0.436,0.4122
experiment,EC1,vec,sim1,template3,0.4127,0.4346,11,4,0.5591,0.4532
experiment,EC1,vec,sim1,template4,0.2326,0.2582,3,1,0.2632,0.2487
experiment,EC1,vec,sim2,template1,0.4144,0.4524,17,12,0.6221,0.4865
experiment,EC1,vec,sim2,template2,0.3975,0.4193,16,8,0.5041,0.435
experiment,EC1,vec,sim2,template3,0.4355,0.4541,2,1,0.5092,0.4804
experiment,EC1,vec,sim2,template4,0.2464,0.2674,12,4,0.3089,0.2661
experiment,EC1,vec,sim3,template1,0.412,0.4315,13,10,0.4996,0.4511
experiment,EC1,vec,sim3,template2,0.438,0.4568,9,8,0.557,0.5131
experiment,EC1,vec,sim3,template3,0.4633,0.4977,11,8,0.5755,0.5196
experiment,EC1,vec,sim3,template4,0.2591,0.2764,14,11,0.3938,0.3057
experiment,EC1,vec,sim4,template1,0.4341,0.4574,18,11,0.6604,0.5083
experiment,EC1,vec,sim4,template2,0.4517,0.4894,8,4,0.6107,0.525
experiment,EC1,vec,sim4,template3,0.4545,0.4729,8,5,0.6275,0.5126
experiment,EC1,vec,sim4,template4,0.2545,0.2792,16,10,0.3909,0.3058
experiment,EC10,dir,sim1,template1,0.4865,0.5175,0,0,,
experiment,EC10,dir,sim1,template2,0.4805,0.5089,6,1,0.514,0.4968
experiment,EC10,dir,sim1,template3,0.5041,0.5419,3,1,0.5722,0.5332
experiment,EC10,dir,sim1,template4,0.2819,0.3081,2,0,0.2927,0.2895
experiment,EC10,dir,sim2,template1,0.5211,0.5541,4,0,0.5486,0.5414
experiment,EC10,dir,sim2,template2,0.4948,0.5321,3,2,0.5679,0.5472
experiment,EC10,dir,sim2,template3,0.523,0.5543,1,1,0.5895,0.5895
experiment,EC10,dir,sim2,template4,0.2894,0.3063,2,0,0.3024,0.297
experiment,EC10,dir,sim3,template1,0.5118,0.5491,1,0,0.5266,0.5266
experiment,EC10,dir,sim3,template2,0.522,0.5505,0,0,,
experiment,EC10,dir,sim3,template3,0.4801,0.5044,4,2,0.5265,0.5069
experiment,EC10,dir,sim3,template4,0.2619,0.2851,3,3,0.3523,0.3348
experiment,EC10,dir,sim4,template1,0.5489,0.5817,0,0,,
experiment,EC10,dir,sim4,template2,0.5234,0.5507,1,0,0.5246,0.5246
experiment,EC10,dir,sim4,template3,0.4834,0.5182,4,3,0.5409,0.5271
experiment,EC10,dir,sim4,template4,0.3376,0.3644,0,0,,
experiment,EC10,dir2,sim1,template1,0.4616,0.4849,11,4,0.5141,0.4803
experiment,EC10,dir2,sim1,template2,0.4041,0.4321,23,12,0.5546,0.4508
experiment,EC10,dir2,sim1,template3,0.4742,0.4992,8,4,0.637,0.5315
experiment,EC10,dir2,sim1,template4,0.2485,0.2776,27,8,0.3059,0.2709
experiment,EC10,dir2,sim2,template1,0.5383,0.5619,4,3,0.6185,0.5882
experiment,EC10,dir2,sim2,template2,0.4612,0.4962,3,0,0.4639,0.4629
experiment,EC10,dir2,sim2,template3,0.4425,0.485,4,2,0.5329,0.4873
experiment,EC10,dir2,sim2,template4,0.2628,0.2751,10,7,0.3233,0.2885
experiment,EC10,dir2,sim3,template1,0.4846,0.5115,6,3,0.5517,0.5216
experiment,EC10,dir2,sim3,template2,0.4258,0.459,21,11,0.6001,0.4776
experiment,EC10,dir2,sim3,template3,0.412,0.4598,20,7,0.6094,0.4591
experiment,EC10,dir2,sim3,template4,0.2173,0.2358,51,28,0.3595,0.2567
experiment,EC10,dir2,sim4,template1,0.4986,0.5399,9,8,0.6282,0.5738
experiment,EC10,dir2,sim4,template2,0.4375,0.4866,17,8,0.6367,0.4898
experiment,EC10,dir2,sim4,template3,0.4621,0.4964,8,6,0.618,0.5387
experiment,EC10,dir2,sim4,template4,0.2161,0.225,46,37,0.381,0.2591
experiment,EC10,mag,sim1,template1,0.4403,0.4664,6,2,0.4887,0.4615
experiment,EC10,mag,sim1,template2,0.4649,0.4919,5,3,0.6018,0.532
experiment,EC10,mag,sim1,template3,0.4933,0.5406,7,1,0.5575,0.5246
experiment,EC10,mag,sim1,template4,0.2556,0.2846,8,3,0.3178,0.283
experiment,EC10,mag,sim2,template1,0.5245,0.562,6,5,0.669,0.6001
experiment,EC10,mag,sim2,template2,0.4957,0.5276,2,1,0.5997,0.5487
experiment,EC10,mag,sim2,template3,0.516,0.5484,3,1,0.5608,0.5362
experiment,EC10,mag,sim2,template4,0.2995,0.3201,1,0,0.3003,0.3003
experiment,EC10,mag,sim3,template1,0.5348,0.5769,3,0,0.5455,0.5429
experiment,EC10,mag,sim3,template2,0.4837,0.5037,4,2,0.5482,0.5122
experiment,EC10,mag,sim3,template3,0.4498,0.4867,7,2,0.5771,0.4867
experiment,EC10,mag,sim3,template4,0.2575,0.2744,12,6,0.3325,0.2835
experiment,EC10,mag,sim4,template1,0.5363,0.5718,4,4,0.6261,0.6099
experiment,EC10,mag,sim4,template2,0.5129,0.5543,0,0,,
experiment,EC10,mag,sim4,template3,0.4433,0.4697,8,6,0.5582,0.5038
experiment,EC10,mag,sim4,template4,0.2575,0.273,11,8,0.3502,0.2892
experiment,EC10,vec,sim1,template1,0.3845,0.4157,1,1,0.4172,0.4172
experiment,EC10,vec,sim1,template2,0.3533,0.3806,17,8,0.4512,0.3852
experiment,EC10,vec,sim1,template3,0.3856,0.3964,17,10,0.5493,0.4326
experiment,EC10,vec,sim1,template4,0.2086,0.2214,13,5,0.2479,0.2214
experiment,EC10,vec,sim2,template1,0.4114,0.4257,9,9,0.6328,0.5105
experiment,EC10,vec,sim2,template2,0.3808,0.4037,8,3,0.4958,0.4092
experiment,EC10,vec,sim2,template3,0.417,0.4394,2,2,0.4902,0.4773
experiment,EC10,vec,sim2,template4,0.2224,0.2377,8,1,0.2442,0.2332
experiment,EC10,vec,sim3,template1,0.4111,0.4282,8,7,0.5402,0.4757
experiment,EC10,vec,sim3,template2,0.3897,0.4174,9,5,0.4713,0.4256
experiment,EC10,vec,sim3,template3,0.3807,0.4131,10,5,0.4767,0.4263
experiment,EC10,vec,sim3,template4,0.2045,0.2182,23,11,0.317,0.2341
experiment,EC10,vec,sim4,template1,0.4217,0.4428,5,4,0.5991,0.5532
experiment,EC10,vec,sim4,template2,0.4186,0.4591,5,1,0.4632,0.4397
experiment,EC10,vec,sim4,template3,0.373,0.3984,12,8,0.5048,0.4275
experiment,EC10,vec,sim4,template4,0.203,0.2226,17,12,0.3286,0.2497
experiment,ECIT,dir,sim1,template1,0.4469,0.4802,8,4,0.5477,0.4934
experiment,ECIT,dir,sim1,template2,0.443,0.4818,9,2,0.5431,0.4716
experiment,ECIT,dir,sim1,template3,0.5054,0.544,5,2,0.5581,0.5346
experiment,ECIT,dir,sim1,template4,0.2511,0.2878,12,5,0.3385,0.2813
experiment,ECIT,dir,sim2,template1,0.4894,0.5614,10,3,0.6321,0.5459
experiment,ECIT,dir,sim2,template2,0.4644,0.5014,5,2,0.5369,0.5058
experiment,ECIT,dir,sim2,template3,0.4306,0.4474,14,9,0.5458,0.474
experiment,ECIT,dir,sim2,template4,0.2522,0.2758,20,5,0.3418,0.2725
experiment,ECIT,dir,sim3,template1,0.5185,0.5507,4,4,0.6406,0.5968
experiment,ECIT,dir,sim3,template2,0.5074,0.5556,4,0,0.523,0.5184
experiment,ECIT,dir,sim3,template3,0.5622,0.5991,0,0,,
experiment,ECIT,dir,sim3,template4,0.312,0.337,5,2,0.3828,0.3425
experiment,ECIT,dir,sim4,template1,0.5043,0.5427,5,4,0.674,0.5945
experiment,ECIT,dir,sim4,template2,0.5113,0.5508,3,0,0.5216,0.519
experiment,ECIT,dir,sim4,template3,0.5423,0.5702,0,0,,
experiment,ECIT,dir,sim4,template4,0.3116,0.3324,4,1,0.3794,0.3335
experiment,ECIT,dir2,sim1,template1,0.4921,0.5242,0,0,,
experiment,ECIT,dir2,sim1,template2,0.4951,0.5303,4,2,0.5491,0.5311
experiment,ECIT,dir2,sim1,template3,0.5133,0.5406,1,1,0.547,0.547
experiment,ECIT,dir2,sim1,template4,0.2986,0.3298,0,0,,
experiment,ECIT,dir2,sim2,template1,0.497,0.5168,8,8,0.6536,0.5607
experiment,ECIT,dir2,sim2,template2,0.5174,0.5654,3,1,0.6053,0.5566
experiment,ECIT,dir2,sim2,template3,0.5086,0.5332,0,0,,
experiment,ECIT,dir2,sim2,template4,0.2735,0.2963,4,3,0.3445,0.3057
experiment,ECIT,dir2,sim3,template1,0.4837,0.5252,6,4,0.632,0.5793
experiment,ECIT,dir2,sim3,template2,0.5085,0.5352,3,1,0.5496,0.5288
experiment,ECIT,dir2,sim3,template3,0.5245,0.5542,4,3,0.5937,0.5666
experiment,ECIT,dir2,sim3,template4,0.297,0.3092,1,1,0.3125,0.3125
experiment,ECIT,dir2,sim4,template1,0.5181,0.5538,8,3,0.6341,0.5565
experiment,ECIT,dir2,sim4,template2,0.5352,0.5672,1,0,0.549,0.549
experiment,ECIT,dir2,sim4,template3,0.5093,0.5457,5,1,0.5686,0.5346
experiment,ECIT,dir2,sim4,template4,0.3273,0.3471,0,0,,
experiment,ECIT,mag,sim1,template1,0.4696,0.5123,0,0,,
experiment,ECIT,mag,sim1,template2,0.4626,0.4822,2,1,0.4846,0.4767
experiment,ECIT,mag,sim1,template3,0.4819,0.5107,8,2,0.566,0.5143
experiment,ECIT,mag,sim1,template4,0.2697,0.2936,2,1,0.3004,0.2914
experiment,ECIT,mag,sim2,template1,0.4677,0.506,12,2,0.5451,0.4899
experiment,ECIT,mag,sim2,template2,0.4596,0.5003,12,4,0.5422,0.499
experiment,ECIT,mag,sim2,template3,0.4658,0.4891,7,2,0.508,0.4853
experiment,ECIT,mag,sim2,template4,0.2475,0.2568,22,18,0.3379,0.2771
experiment,ECIT,mag,sim3,template1,0.4885,0.517,5,2,0.529,0.5142
experiment,ECIT,mag,sim3,template2,0.4921,0.5357,2,0,0.5239,0.5208
experiment,ECIT,mag,sim3,template3,0.4692,0.5045,5,3,0.5861,0.5354
experiment,ECIT,mag,sim3,template4,0.2483,0.262,16,12,0.3132,0.2752
experiment,ECIT,mag,sim4,template1,0.4972,0.5236,9,5,0.5911,0.5279
experiment,ECIT,mag,sim4,template2,0.4798,0.5212,5,1,0.5387,0.4991
experiment,ECIT,mag,sim4,template3,0.4639,0.4979,4,4,0.6762,0.5839
experiment,ECIT,mag,sim4,template4,0.2513,0.2647,16,14,0.3887,0.2902
experiment,ECIT,vec,sim1,template1,0.3897,0.4191,2,1,0.4452,0.4233
experiment,ECIT,vec,sim1,template2,0.4005,0.4254,2,1,0.4261,0.4237
experiment,ECIT,vec,sim1,template3,0.414,0.4352,8,4,0.5057,0.4514
experiment,ECIT,vec,sim1,template4,0.2189,0.2355,9,4,0.2736,0.2389
experiment,ECIT,vec,sim2,template1,0.395,0.4257,19,15,0.6312,0.4781
experiment,ECIT,vec,sim2,template2,0.4098,0.4446,8,4,0.507,0.4472
experiment,ECIT,vec,sim2,template3,0.4,0.4291,6,0,0.4217,0.4114
experiment,ECIT,vec,sim2,template4,0.2157,0.2335,19,10,0.2905,0.2415
experiment,ECIT,vec,sim3,template1,0.4198,0.451,17,10,0.589,0.4788
experiment,ECIT,vec,sim3,template2,0.4296,0.4577,5,3,0.4741,0.4584
experiment,ECIT,vec,sim3,template3,0.4287,0.4482,5,4,0.5368,0.4809
experiment,ECIT,vec,sim3,template4,0.2429,0.2637,10,7,0.3022,0.2744
experiment,ECIT,vec,sim4,template1,0.42,0.4379,15,12,0.5721,0.4833
experiment,ECIT,vec,sim4,template2,0.4166,0.4337,4,1,0.4778,0.4386
experiment,ECIT,vec,sim4,template3,0.4287,0.4425,4,3,0.5847,0.4965
experiment,ECIT,vec,sim4,template4,0.2511,0.2748,5,4,0.3545,0.2955
experiment,ECOR,dir,sim1,template1,0.4946,0.5331,1,0,0.5173,0.5173
experiment,ECOR,dir,sim1,template2,0.4965,0.5391,1,0,0.5098,0.5098
experiment,ECOR,dir,sim1,template3,0.5588,0.5821,3,2,0.6145,0.591
experiment,ECOR,dir,sim1,template4,0.2774,0.3081,1,0,0.2881,0.2881
experiment,ECOR,dir,sim2,template1,0.637,0.6678,5,0,0.6665,0.6513
experiment,ECOR,dir,sim2,template2,0.4461,0.5014,9,2,0.572,0.4944
experiment,ECOR,dir,sim2,template3,0.3942,0.4218,16,11,0.5487,0.4534
experiment,ECOR,dir,sim2,template4,0.254,0.283,13,5,0.3221,0.282
experiment,ECOR,dir,sim3,template1,0.5034,0.5517,8,7,0.6441,0.572
experiment,ECOR,dir,sim3,template2,0.4888,0.5189,1,0,0.5067,0.5067
