dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,EEC1,dir,max,2022-12-23 01:11:35,0.525,False,3.0861532653257067,1.39379111695862,0.06809829884323589,0.40228522439746384,False,2.474093613987706,True
ingv,ECPN,dir2,max,2022-12-24 11:43:29,0.6133,False,2.5058646868221603,0.08692942244467483,0.05095307315395009,1.5144589358845437,False,2.4722244688363557,False
ingv,ECPN,dir2,max,2023-02-03 03:15:08,0.6173,True,2.0714066611824116,-0.17993027331804523,0.07826373253667897,1.2741202830279785,False,2.466931730862679,False
ingv,EEC1,dir2,max,2022-12-01 23:22:36,0.5641,False,4.4765723438481535,0.9319853650984933,0.0277441573380093,1.8740101890355236,False,2.4661695555627725,False
ingv,ECPN,dir2,max,2023-01-05 22:48:17,0.6633,True,1.610224739577135,-0.1958865389481308,0.062171532615570915,1.464427436016958,False,2.4548148883216907,False
ingv,EEC1,dir2,max,2022-12-25 21:52:21,0.5841,False,1.1528044017979961,-0.6721905656824174,0.09425145378756616,0.8148266848404347,False,2.4412341720328783,True
experiment,EMAS,dir2,max,2023-07-31 08:31:58,0.6136,False,1.7116372530498378,-0.5269943773341796,0.08912097779268104,1.2176654139942944,False,2.4327885703230097,False
experiment,ECOR,dir2,max,2023-08-01 08:23:43,0.6409,False,2.639793596005885,-0.3233165965867659,0.10099499454994251,1.6242222581843866,False,2.4180055747512537,False
ingv,ECPN,dir2,max,2023-01-04 17:23:21,0.6189,True,1.8563742531271001,-0.22173495628937445,0.048139075450815215,1.492444663295056,False,2.38960281086291,False
ingv,EEC1,dir,max,2022-11-20 19:28:45,0.5847,True,2.45312578598283,-0.42608835718768834,0.12467005419570105,1.103476300827619,False,2.3880950074412097,False
ingv,ECPN,dir2,max,2022-12-12 13:55:04,0.6116,False,3.772820882537839,0.849748907119452,0.10060333494785104,1.3646765632957583,False,2.374292213242053,False
ingv,EEC1,dir,max,2023-01-02 05:00:52,0.5732,True,1.288785850213478,0.27976326014144615,0.05576166842747024,0.6267688561655942,False,2.3681845646807567,True
ingv,EEC1,dir2,stack,2022-11-25 11:31:54,0.3348,True,8.191167732361274,4.021511034984221,0.05144724040478485,0.4510497281110184,False,2.3633754121768256,False
ingv,EEC1,dir2,stack,2023-02-10 03:15:29,0.3312,True,4.104481131357426,-0.7306880650587897,0.12814586010420756,0.5853583301545899,False,2.349287915640784,True
ingv,EEC1,dir,max,2023-01-06 01:15:23,0.5298,False,1.8020231420549362,0.2221564999083907,0.08493575202934761,0.4413692668385786,False,2.3464399179485538,True
ingv,EEC1,dir,stack,2022-12-12 14:07:05,0.3856,True,4.9596724656946805,0.17280825463222405,0.03554434582595776,1.5376957103367286,False,2.318356326850059,False
ingv,ECPN,dir2,max,2023-01-21 23:07:11,0.6099,False,2.7230941862986686,-0.2846510401074145,0.12031096184251,1.3855601233651584,False,2.3150729051565158,False
ingv,ECPN,dir2,max,2022-11-20 18:04:18,0.622,True,3.863188489777659,0.6544910866867513,0.11526784676243666,1.5162163401395103,False,2.3040006779137947,False
ingv,ECPN,dir2,max,2023-02-12 00:56:10,0.6549,True,1.7755080635194473,-0.3756921213351392,0.07375566057043847,1.6513337048683776,False,2.252780988107761,False
ingv,ECPN,dir2,stack,2023-01-10 17:36:40,0.3782,True,5.401946896669395,0.23425180734005213,0.14058107951047427,0.9112230751348495,False,2.246357223712301,True
ingv,EEC1,dir2,max,2023-01-25 02:41:26,0.6082,True,2.85139804366069,1.377910983849592,0.05759640326786027,1.0386924339194672,False,2.233163684406536,False
ingv,EEC1,dir2,stack,2022-11-20 18:45:32,0.3071,False,4.503512509893531,-0.27744717103744554,0.1271440613556317,0.5322319283966348,False,2.145611305436649,True
ingv,ECPN,dir2,max,2022-12-28 20:41:22,0.5942,False,1.7223330042692737,-0.36902121641740315,0.0727430762321372,1.3571484504099711,False,2.1386355657533387,False
ingv,EEC1,dir,max,2022-11-29 02:26:21,0.5225,False,2.5217507018459333,-0.0026363159240694323,0.09822209703498115,0.9188195661423345,False,2.1348652270787962,True
ingv,EEC1,dir,stack,2022-12-12 06:33:02,0.3403,False,3.12411406802888,0.09676661504425743,0.04386011248615403,0.5108657845700028,False,2.1282106193356407,True
ingv,EEC1,dir2,stack,2023-02-09 16:46:03,0.3219,True,3.9693854894630243,-0.6931783279567236,0.09120033754173143,0.8909206132953726,False,2.125421984910113,True
experiment,ECIT,dir2,max,2023-07-28 03:52:54,0.5783,False,1.6387577832446423,-0.4161480349220281,0.08952604014912934,1.1337505461956643,False,2.121355417305199,False
ingv,ECPN,dir2,max,2023-02-11 23:56:03,0.6856,True,1.6596149163610503,-0.9158644509325979,0.1973513100340803,1.2446400440878074,False,2.0876207295504368,False
ingv,EEC1,dir2,max,2023-01-23 15:12:38,0.6025,True,2.061731046432895,0.9507864402320636,0.0467850401425058,1.059871021954354,False,2.084431996085822,False
ingv,ECPN,dir2,max,2023-01-22 02:29:47,0.5945,False,1.8871210148681945,-0.7227536982233711,0.09677387076464641,1.4953055025138957,False,2.0785832655853684,False
experiment,ECOR,dir2,max,2023-07-28 12:19:48,0.6563,True,4.892561015371677,3.901317502939233,0.08112602324175655,0.8018655274270438,False,2.069358905165315,True
experiment,ECOR,dir,max,2023-07-26 06:06:07,0.5939,False,2.696183644616918,-0.39226123368059573,0.04103716660057161,2.1407835980326855,False,2.052162531596054,False
ingv,ECPN,dir2,max,2023-01-07 07:46:34,0.6341,True,1.8921642318131076,-0.4445036560506579,0.051042363529793425,1.9442482494500648,False,2.051326892879798,False
ingv,EEC1,dir,max,2022-12-01 04:49:00,0.533,False,3.791655328038953,-0.06132365590856015,0.15785129192132594,1.2283902922316603,False,2.038850396014095,False
experiment,ECOR,dir,max,2023-08-01 13:50:54,0.6135,False,1.999114583818399,-0.48968778539152513,0.1074039497583966,1.5018763837626872,False,2.000166417925602,False
ingv,ECPN,dir2,stack,2022-12-16 23:09:27,0.3732,False,6.260852094907728,1.8735260733393115,0.08202439703340164,0.993906885334625,False,1.9987946723617203,True
ingv,ECPN,dir2,max,2023-01-02 05:39:17,0.6316,True,1.726662088330824,0.1364940442190523,0.037762579437421964,1.6822162105057554,False,1.9702612255460223,False
ingv,ECPN,dir2,max,2022-12-03 13:06:43,0.5979,False,6.981790630255234,0.9077478892971214,0.4054481516054524,0.723512620786975,False,1.965120272523277,True
ingv,EEC1,dir2,stack,2022-11-24 08:35:39,0.3134,False,3.842615477454899,-0.09619846842847846,0.08287551085826676,0.639968699374055,False,1.939692867384787,True
ingv,ECPN,dir2,stack,2022-12-01 03:17:46,0.4064,True,4.429684281770583,-0.5848256727233769,0.08023008136282182,1.7667319434702435,False,1.9314559740316146,False
ingv,ECPN,dir2,max,2023-01-14 05:38:42,0.5946,False,2.475939804095592,0.43159793757024634,0.10121978235888414,1.2012676405457714,False,1.9222628742579204,False
ingv,ECPN,dir2,stack,2023-01-01 23:10:02,0.4152,True,2.0831434818865153,-0.42484389003446,0.009529534550639051,1.1629202299792574,False,1.9166142177678558,False
ingv,EEC1,dir,stack,2022-12-01 04:49:19,0.3568,True,3.791655328038953,-0.10008836258021114,0.11208138591964491,0.6684144928733391,False,1.9079855565671886,True
experiment,EC1,dir2,max,2023-07-30 06:24:13,0.6145,False,2.269363695552216,0.5300683262931485,0.028199760124204203,1.7488552396955255,False,1.8918537582541215,False
ingv,ECPN,dir2,stack,2023-01-16 19:14:49,0.3809,True,3.068660956268931,-0.7633754446365253,0.07629443637888227,1.1281861995133584,False,1.8905002394286448,False
ingv,ECPN,dir2,max,2023-02-03 00:32:14,0.5987,False,2.0556322592445397,0.012152692474006521,0.08205268869875092,1.4329916416369968,False,1.8900192479362232,False
ingv,EEC1,dir2,max,2023-01-30 11:23:33,0.5902,False,1.629253381344039,0.49209357486528615,0.060445538362137806,1.0835552349407804,False,1.8777120878786036,False
ingv,ECPN,dir2,max,2022-12-29 03:26:49,0.5968,False,1.8424962548171244,-0.49398026935472794,0.11678168440321383,1.347366488535297,False,1.8774169835573637,False
ingv,EEC1,dir,max,2022-11-30 04:49:10,0.5271,False,4.859002031871549,-0.14656512055431614,0.1727741350468279,1.7669770163821474,False,1.8573162791397848,False
ingv,ECPN,dir2,max,2023-01-02 01:31:12,0.6174,True,2.710327627730065,0.8810915817324503,0.03718818049056258,1.7433512300586405,False,1.84296230017343,False
ingv,ECPN,dir2,max,2022-12-24 00:43:53,0.5994,False,2.050840736792263,0.13274397517892877,0.08076203635307118,1.4106989833351529,False,1.8422299176346075,False
ingv,ECPN,dir2,max,2023-01-30 23:15:59,0.6326,True,3.830670494799621,1.4257620814025538,0.20603319061346503,0.7666224712676826,False,1.8265548822737454,True
ingv,EEC1,dir2,stack,2022-12-01 23:51:24,0.3182,True,3.174552987501178,-0.5698063419558963,0.10887299707209495,0.5272661519627616,False,1.7844097015162232,True
ingv,ECPN,dir2,max,2023-01-14 18:46:24,0.5976,False,2.556804062360364,0.0632619519929043,0.06050069921849584,1.8792536065965146,False,1.7843824982433707,False
ingv,ECPN,dir2,max,2022-12-30 19:35:20,0.6915,True,1.2884854461287405,-0.8650715323122551,0.10640676864243177,2.004054745779409,False,1.7684138035254389,False
ingv,ECPN,dir,stack,2023-02-04 00:03:32,0.4131,True,3.5544099693433635,0.7223614728110173,0.06282142273355669,0.9053096262041296,False,1.7591287942818588,True
ingv,ECPN,dir2,max,2022-12-07 11:23:34,0.5991,False,2.7181735184852585,0.7595737913199327,0.07516604952639086,1.4839009042020588,False,1.747640351808395,False
ingv,ECPN,dir2,max,2023-01-14 01:24:54,0.6373,True,1.8336254946554051,-0.33024269035271914,0.1287790790040427,1.4970904426190548,False,1.7338619970344684,False
ingv,ECPN,dir2,stack,2023-01-21 13:13:58,0.4071,True,3.986859738745611,0.692074281042236,0.06279657741998156,1.1136659142121854,False,1.7320384348380506,False
ingv,EEC1,dir,max,2022-11-19 11:43:57,0.5373,False,2.6410536599754204,-0.665445687020652,0.11254548378219631,1.616903106430942,False,1.7298736733055682,False
ingv,EEC1,dir2,stack,2022-12-19 20:50:10,0.3142,False,3.1443811724836537,-0.033488193277371625,0.04026677260606345,0.7631862263402583,False,1.7181967148455732,True
ingv,ECPN,dir2,max,2023-02-04 07:14:45,0.7033,True,2.38037735055653,-0.1808591522220735,0.2547822873734354,1.1091877835239041,False,1.7014387635505241,False
ingv,EEC1,dir2,stack,2022-12-21 15:33:32,0.3106,False,4.010782978802706,-0.44805249055877105,0.07274476642241294,1.1668089640730777,False,1.6808281071395341,False
ingv,ECPN,dir2,max,2023-02-13 01:07:13,0.657,True,2.479884710248192,0.5202662675210541,0.1293024506027382,1.4763244198489671,False,1.6767001595304265,False
ingv,ECPN,dir2,stack,2023-02-04 07:13:33,0.4329,True,2.38037735055653,-0.26521819272931824,0.06679651707427071,1.0567534007522736,False,1.6636173276575614,False
experiment,EC10,dir2,max,2023-07-31 02:19:20,0.6367,True,1.9579905362623742,-0.7779245196032756,0.024032546975353963,2.673652882455498,False,1.6528240658172773,False
ingv,EEC1,dir2,stack,2023-01-10 08:55:24,0.3224,True,5.548021110858492,-0.7343222813727284,0.20784630076063462,1.1144473534781187,False,1.6450676819650187,False
ingv,ECPN,dir2,stack,2022-12-27 12:04:50,0.4023,True,2.863608864488151,-0.8416033273573413,0.12883240083213277,0.9708242540443429,False,1.6430505380715528,True
ingv,ECPN,dir2,max,2022-12-26 19:13:38,0.5937,False,2.249410454186435,0.2997169979808074,0.10973821073086125,1.303838716372293,False,1.6328631721128508,False
ingv,ECPN,dir2,stack,2022-12-07 16:24:48,0.3996,True,2.1804944425145565,-0.6808918858644066,0.03715909298838066,1.2548912461128485,False,1.6302795165740531,False
ingv,ECPN,dir2,max,2022-12-30 18:01:01,0.614,False,2.0391688369286736,-0.3245337088508635,0.10218578669519822,1.7535331547727302,False,1.6052073888940457,False
ingv,ECPN,dir2,max,2022-12-10 03:02:39,0.5948,False,2.6151621330075883,-0.3701648554778427,0.1888304238494976,1.2846560556347344,False,1.589188336765329,False
ingv,ECPN,dir2,stack,2023-02-12 19:13:59,0.3674,False,2.3499891428015554,-0.45755977034031803,0.0045413877443879645,1.3046194420297266,False,1.5865666416609456,False
ingv,ECPN,dir2,max,2023-02-03 01:53:28,0.6261,True,1.9617289397240627,-0.15569601284344214,0.08739549749762444,1.8202153704264135,False,1.5851505594512538,False
ingv,ECPN,dir2,max,2022-12-30 15:32:35,0.6488,True,2.569880757637247,-0.08313929007988463,0.1940985414954701,1.384480168660205,False,1.576256008780567,False
ingv,ECPN,dir2,max,2023-02-11 20:42:11,0.6432,True,1.2374326069666697,-0.41315301462914533,0.1597860707386572,1.172826661497959,False,1.5679938434422651,False
ingv,ECPN,dir2,max,2022-12-31 09:23:06,0.6119,False,2.5532863110455386,0.7970584873544033,0.09990758750069449,1.4023068278166546,False,1.5593998744274595,False
ingv,EEC1,dir,stack,2022-11-20 19:43:10,0.3633,True,3.142515362936942,-0.22900356705543246,0.13360878894724995,0.5663137703831223,False,1.540045450249438,True
ingv,ECPN,dir2,stack,2023-02-07 15:38:10,0.3984,True,2.5303884257023754,-0.15946173806689146,0.023259139675159256,1.2967080481826843,False,1.5332453433388642,False
