dataset,kind,rho,chisq
ingv,spike glitch,-0.30114985703487956,6.90944276970646
ingv,spike glitch,0.35242450953254967,2.655011073302078
ingv,spike glitch,0.3857680055959837,5.551717248330434
ingv,spike glitch,0.4078775072206881,0.8228409607087668
ingv,spike glitch,0.5184672002326467,1.7358052881898958
ingv,spike glitch,0.5054899385758411,1.6608062470555147
ingv,spike glitch,0.2704747868248357,3.6650963897234607
ingv,spike glitch,0.385856724099415,5.198885581980093
ingv,spike glitch,-0.2881627922665282,2.9765278036494287
ingv,spike glitch,-0.3300343188357267,2.772632044264674
ingv,spike glitch,-0.4263195531184846,2.505992469957575
ingv,spike glitch,-0.4262024412602868,0.4877713208438155
ingv,spike glitch,0.3227100694834954,2.871854305472414
ingv,spike glitch,-0.551301103849859,1.1998836276829457
ingv,spike glitch,0.3538385476328707,2.062989692983852
ingv,spike glitch,-0.42504896694010463,1.1757061680987984
ingv,spike glitch,0.3785111287699064,1.0211363584811939
ingv,spike glitch,0.35280442678416424,5.214048252205371
ingv,spike glitch,-0.3700222864022664,2.3436823772663424
ingv,spike glitch,0.5236571122857876,1.7181266443108256
ingv,spike glitch,-0.3753545039834369,1.110005124089732
ingv,spike glitch,-0.32547136343913224,1.9883349330086963
ingv,spike glitch,-0.3327924889158071,2.438850972157366
ingv,spike glitch,0.3042643815600672,5.691934992919095
ingv,spike glitch,-0.2784687668671953,5.739129481316752
ingv,spike glitch,0.3876875331858674,3.6371107468951465
ingv,spike glitch,-0.4793380941238571,1.0172823008175766
ingv,spike glitch,-0.28795700022682397,0.7328516030723966
ingv,spike glitch,-0.40600610151412075,1.3593540595604359
ingv,spike glitch,0.34244296704757893,2.3441000627860222
ingv,spike glitch,-0.2950511796593807,0.9487345512953343
ingv,spike glitch,-0.4363975707597704,0.9356915201449509
ingv,spike glitch,-0.5615395067811144,1.1809983032561393
ingv,spike glitch,0.3442906301302985,3.957075610958679
ingv,spike glitch,-0.4686228612990918,2.420847047807846
ingv,spike glitch,-0.2779125936786452,2.0739636640403805
ingv,spike glitch,0.5132397248185712,2.3728480745539966
ingv,spike glitch,0.3012369923611731,3.6932221599547828
ingv,spike glitch,0.33119461000803035,3.5369393411529653
ingv,spike glitch,-0.3978701971284484,1.120696310752751
ingv,spike glitch,-0.46080242497626,0.27238613016882507
ingv,spike glitch,0.643739173303557,1.554694636391176
ingv,spike glitch,-0.3218211266341093,2.948852769892801
ingv,spike glitch,0.29705613837547035,2.4163594870155527
ingv,spike glitch,0.42889490509028333,1.738398556565904
ingv,spike glitch,0.427351382216883,2.5215871690368257
ingv,spike glitch,0.4351137355821104,2.3732344626363555
ingv,spike glitch,0.5241241606787355,2.2192924820351254
ingv,spike glitch,0.3525787902082299,5.610693590055536
ingv,spike glitch,0.36198957002566723,1.3999840151972311
ingv,spike glitch,0.3913779024338754,1.7875926805452593
ingv,spike glitch,0.3531678467185651,6.48124277194063
ingv,spike glitch,0.3479402847057984,3.5956123247616376
ingv,spike glitch,-0.40725467090988327,0.7128628429529609
ingv,spike glitch,0.28451452304704994,2.4908790747299827
ingv,spike glitch,-0.4590054979015997,1.7291157004580595
ingv,spike glitch,-0.34282816665274435,3.870650961329571
ingv,spike glitch,-0.35423661227441405,1.850553603696905
ingv,spike glitch,0.3718136337326423,3.1934257250994595
ingv,spike glitch,0.4572632672678838,3.998664587430321
ingv,spike glitch,-0.41707651661027095,0.6867341757940524
ingv,spike glitch,0.3888270103992866,1.3509680511857616
ingv,spike glitch,0.3272505047561574,2.3756483170655294
