dataset,station,sim,template,floor_signif,obs_detect,exp_detect,enrich_detect,p_detect,obs_signif,exp_signif,enrich_signif,p_signif
ingv,EEC1,sim2,template1,0.5478,89,27.9,3.19,0.0,41,0.0,,0.0
ingv,EEC1,sim2,template2,0.5402,18,14.0,1.29,0.0,3,0.0,,0.0
ingv,EEC1,sim2,template3,0.4921,15,13.9,1.08,0.0,9,0.0,,0.0
ingv,EEC1,sim2,template4,0.303,47,68.9,0.68,1.0,16,27.4,0.58,1.0
ingv,EEC1,sim3,template1,0.5463,50,14.0,3.57,0.0,12,0.0,,0.0
ingv,EEC1,sim3,template2,0.4554,163,97.4,1.67,0.0,67,13.9,4.81,0.0
ingv,EEC1,sim3,template3,0.4486,196,139.2,1.41,0.0,109,69.6,1.57,0.0
ingv,EEC1,sim3,template4,0.3105,86,27.3,3.15,0.0,26,0.0,,0.0
ingv,EEC1,sim4,template1,0.5029,114,41.5,2.75,0.0,74,13.8,5.37,0.0
ingv,EEC1,sim4,template2,0.4331,180,83.7,2.15,0.0,98,41.7,2.35,0.0
ingv,EEC1,sim4,template3,0.4559,132,41.8,3.16,0.0,62,13.9,4.45,0.0
ingv,EEC1,sim4,template4,0.2446,270,206.2,1.31,0.0,175,96.5,1.81,0.0
