dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,dir,stack,2022-11-28 07:32:55,0.3874,False,1.535517060718254,-0.3684367204327499,0.055581275689614684,1.6712433524369839,False,-0.23018910900318518,False
ingv,ECPN,mag,stack,2022-12-29 04:41:39,0.3661,False,1.5484667940627312,-0.8111350469164882,0.06574630095291796,1.7108551581958253,False,-0.23847103779282164,False
ingv,ECPN,mag,max,2023-01-05 05:27:56,0.6124,True,1.5865405263912153,-0.6408866699872267,0.2278812262941933,1.9977331048998208,False,-0.2603662344304484,False
ingv,EEC1,mag,max,2023-01-12 23:14:54,0.5237,False,1.8909051486283117,-0.03132423714087196,0.09037931007910414,2.3380984800609648,False,-0.26556800511938916,False
ingv,ECPN,mag,stack,2022-12-30 15:28:33,0.4093,True,2.5511672164806467,0.14664738249009224,0.17889898369198623,1.2621528891027305,False,-0.27839847833034004,False
ingv,ECPN,mag,stack,2023-02-12 09:22:53,0.4206,True,1.8053706961902567,-0.6729549952560432,0.16380674648768764,1.4521005115028365,False,-0.30914970138484055,False
ingv,ECPN,mag,max,2023-02-21 03:49:42,0.6108,False,1.2912047362987702,-0.7234622355541411,0.14326153384368767,2.530596731654718,False,-0.31456655587185145,False
experiment,ECIT,mag,stack,2023-07-25 14:28:40,0.38,True,3.6367905907124047,-0.1927847429897831,0.19121208791016767,1.861070575298513,False,-0.3157975855205984,False
ingv,ECPN,mag,stack,2023-01-04 15:14:07,0.3687,False,2.316022273282754,1.0937215947625658,0.026790848840503315,1.5433255338870315,False,-0.33444992515535743,False
ingv,ECPN,mag,stack,2023-01-02 06:05:17,0.3725,True,1.8873890545805947,-0.7194997128764129,0.10116871476482962,1.7168019322439179,False,-0.3374035713041982,False
ingv,ECPN,mag,stack,2023-01-07 07:46:55,0.3912,True,1.7766905437409621,-0.29783992965524364,0.049267946093092055,1.9411381661433689,False,-0.3474389393394001,False
ingv,ECPN,mag,stack,2022-12-07 13:07:02,0.3712,False,3.0322526584793037,0.1666432918366958,0.161409747627089,1.48968839828064,False,-0.34808884559706527,False
ingv,EEC1,dir,stack,2023-01-22 02:07:47,0.3339,False,2.3183908051581152,0.3976037696142747,0.09036357573462367,1.2429080877384244,False,-0.3697090292076636,False
ingv,EEC1,dir,stack,2022-11-16 08:40:07,0.3336,False,4.5085771846869465,2.465384366885301,0.15518873893920912,0.9886917682855145,False,-0.3701035600051429,True
ingv,EEC1,mag,max,2023-01-07 11:30:41,0.5055,False,1.1621313400844366,0.16954647675574464,0.1425693795410749,1.3524814975381663,False,-0.3741564049595678,False
ingv,EEC1,dir,stack,2022-12-13 06:15:44,0.3477,True,2.7447099756438393,0.8711438524049511,0.15043634254758725,0.8957075744820034,False,-0.38491192269275154,True
ingv,ECPN,mag,stack,2022-12-04 01:25:58,0.3725,True,2.2087981072477807,-0.2784399955572874,0.10152559264241394,1.713348185150071,False,-0.38865399579098037,False
ingv,EEC1,mag,stack,2022-12-18 14:44:00,0.3248,False,2.342663443704374,-0.32370806952552167,0.11122747367514332,1.4527633917222857,False,-0.40092227706252415,False
experiment,ECOR,mag,stack,2023-07-27 18:06:59,0.3795,True,2.0078373318641694,-0.02792077133295967,0.1832774675345294,0.8930809368647833,False,-0.4043591134605681,True
ingv,ECPN,mag,stack,2023-02-10 22:34:42,0.3794,True,2.2613356840863745,-0.6659546271802528,0.1519949725860933,1.631677570785342,False,-0.4098727057738404,False
ingv,EEC1,mag,stack,2023-01-29 10:28:01,0.3343,True,1.3168598908947693,-0.04250211216823141,0.05499150692317921,1.1635337473918785,False,-0.4107120368657068,False
