dataset,station,covered,absR,oriented_ReR
ingv,ECPN,True,0.48517563621044174,-0.3026981676189672
ingv,EEC1,True,0.39523476394113455,0.14317591599849272
ingv,EEC1,True,0.3305223154379771,0.14501288606931412
ingv,EEC1,True,0.34460198674114606,-0.17222679780933084
ingv,EEC1,True,0.37718829641551693,-0.30553406321494436
ingv,EEC1,True,0.4899998157239832,-0.14512205820716886
ingv,EEC1,True,0.3527919082904457,-0.22323671275968215
ingv,EEC1,True,0.4061722101343204,0.3864313983960246
ingv,EEC1,True,0.39917076086236225,-0.027657215256809503
ingv,EEC1,True,0.34916873723998326,0.1328959284219466
ingv,EEC1,True,0.4072053477770398,0.16774228192882573
ingv,EEC1,True,0.31619826083693764,-0.11860024422031638
ingv,EEC1,True,0.4103802008170124,-0.07348756711834935
ingv,EEC1,True,0.38141083189868985,0.20545034472798057
ingv,EEC1,True,0.37168207136851805,0.0472275336542719
ingv,EEC1,True,0.3735327614756584,-0.11962509922632804
ingv,EEC1,True,0.41195706291639717,-0.11948559449867455
ingv,EEC1,True,0.33136351482868254,-0.0837660659546862
ingv,EEC1,True,0.4468417158684691,-0.2634615896020496
ingv,EEC1,True,0.46464905897726216,-0.3936367815025374
ingv,EEC1,True,0.3850089532914626,-0.024318980416704206
ingv,EEC1,True,0.3396902238306246,0.1356950134332835
ingv,EEC1,True,0.46805382497783765,-0.26930188657462256
ingv,EEC1,True,0.3546462001354321,0.15652781913989253
ingv,EEC1,True,0.36141426625107825,-0.09232563704767657
ingv,EEC1,True,0.35785786576474804,0.15864008073897634
ingv,EEC1,True,0.4290106653452126,0.0793408877584252
ingv,EEC1,True,0.32385238071262995,0.18969243980494555
ingv,EEC1,True,0.4380183272060231,0.20992571505488697
ingv,EEC1,True,0.3950792687084081,0.0030688256697025255
ingv,EEC1,True,0.40859701461467596,0.08925125290261858
ingv,EEC1,True,0.3591159455610625,0.18360022790772734
ingv,EEC1,True,0.36155857904480554,0.1483775911772342
ingv,EEC1,True,0.35339470871568707,-0.009386617329195724
ingv,EEC1,True,0.3556077955610806,0.15321032022172804
ingv,EEC1,True,0.35785786576474765,0.1586400807389762
ingv,EEC1,True,0.35456669601119395,0.06265771011412272
ingv,EEC1,True,0.3507488001694739,-0.1530348147033126
ingv,EEC1,True,0.39532203000211075,0.3568158035092016
ingv,EEC1,True,0.3846731424840706,-0.08242376255257391
ingv,EEC1,True,0.3431453503078687,-0.32268393786550037
ingv,EEC1,True,0.3351798801075765,-0.10650355287826921
ingv,EEC1,True,0.4123589708777184,0.1173953890638082
ingv,EEC1,True,0.411655118466272,-0.3963049628614455
ingv,EEC1,True,0.36528806909788064,-0.2703621318056486
ingv,EEC1,True,0.3887780591686647,0.1414299518328046
ingv,EEC1,True,0.32844919782684906,0.02625607872284761
ingv,EEC1,True,0.3646657932574384,0.18755515600546946
ingv,EEC1,True,0.30426805938649437,0.10269460301017731
ingv,EEC1,True,0.4336146760426621,-0.24191727115938572
ingv,EEC1,True,0.35550857714693485,0.09461810372994232
ingv,EEC1,True,0.41074168899986746,-0.2044443407035175
ingv,EEC1,True,0.4144047540923911,0.06714958878093348
ingv,EEC1,True,0.37871461218666685,-0.36968900835877744
ingv,EEC1,True,0.47977566906723595,-0.07201766783079865
ingv,EEC1,True,0.3574559045371208,-0.34356797229974195
ingv,EEC1,True,0.41969815822088435,0.19486520180946293
ingv,EEC1,True,0.3819689308762036,-0.21221664016386485
ingv,EEC1,True,0.3047156365300243,-0.2649147725115677
ingv,EEC1,True,0.3858051706678039,-0.09128143284665319
ingv,EEC1,True,0.3724111898349613,0.010990565302915267
experiment,EC1,True,0.4561180130008938,0.2550660971815445
experiment,EC1,True,0.3488992510053966,0.007110970669473304
experiment,EC1,True,0.36460232804410353,-0.2694355757886592
experiment,EC1,True,0.3978835088030224,0.07954726149998737
experiment,EC1,True,0.3491658195036718,-0.13844778427018117
experiment,EC1,True,0.37452648152669504,0.16925981411243296
experiment,EC1,True,0.3337585747014035,-0.33074390211265214
experiment,EC1,True,0.38667662338239356,0.2873771096773113
experiment,EC1,True,0.38541440369244745,-0.1386681491180805
experiment,EC1,True,0.44025952888705244,0.4398485739335589
experiment,EC1,True,0.37525935993091264,0.04478431134925498
experiment,EC1,True,0.40633561245820204,0.2694704452270248
experiment,EC1,True,0.3731035942884455,-0.31801368919544143
experiment,EC1,True,0.3620207378828778,-0.3594687804397537
experiment,EC1,True,0.39635022586121743,-0.021958570657409415
experiment,EC1,True,0.42981279181375726,0.3333149075518815
experiment,EC1,True,0.4052296014473465,-0.18516585961679566
experiment,EC1,True,0.44236688816100656,0.2982699636420482
experiment,EC1,True,0.42475632401509156,-0.1669358078211858
experiment,EC1,True,0.382790714175345,-0.3724983114087059
experiment,EC1,True,0.40283904754132616,0.1035157124212451
experiment,EC1,True,0.4226476380219913,-0.13100275550811394
experiment,EC1,True,0.36855979735379957,-0.19456145838872774
experiment,EC1,True,0.3963502258612174,-0.021958570657409415
experiment,EC1,True,0.43860455602380805,0.43080059579314206
experiment,EC1,True,0.34252764527798696,-0.319596564369709
experiment,EC1,True,0.39279345052162695,0.1472008935238489
experiment,EC1,True,0.4402688149053245,-0.18271473083861403
experiment,EC1,True,0.3720343862963762,-0.3240629087069065
experiment,EC1,True,0.3488992510053957,0.007110970669473193
experiment,EC1,True,0.35439372604082314,-0.012764026117412425
experiment,EC1,True,0.4402595288870539,0.43984857393356025
experiment,EC1,True,0.3472547941919484,0.22262688477548345
experiment,EC1,True,0.4598275114066638,-0.060841854617639274
experiment,EC1,True,0.3985435946911306,0.24604392149235393
experiment,EC1,True,0.38667662338239317,0.287377109677311
experiment,EC1,True,0.4561180130008948,0.2550660971815451
experiment,EC1,True,0.33375857470140424,-0.33074390211265287
experiment,EC1,True,0.40820741398758387,0.4078563662189894
experiment,EC1,True,0.46210088212006023,-0.3172197776490433
experiment,EC1,True,0.3613619628355678,0.3497659976037936
experiment,EC1,True,0.46273287477223324,-0.07051973885874144
experiment,EC1,True,0.3353691862113954,0.003853280445318713
experiment,EC1,True,0.4272541308964728,0.2928870088128367
experiment,EC1,True,0.3914501814350108,-0.20242380960772108
experiment,EC1,True,0.39093427494688965,0.008965305558733289
experiment,EC1,True,0.5279419491749371,0.17977921627494603
experiment,EC1,True,0.3800320633802658,0.3674310970254119
experiment,EC1,True,0.45170554473871316,-0.1515250682738945
experiment,EC1,True,0.44025952888705283,0.43984857393355925
experiment,EC1,True,0.407996858728398,0.14353674423437934
experiment,EC1,True,0.4298127918137582,0.33331490755188226
experiment,EC1,True,0.3546836621478508,0.2306873607628513
experiment,EC1,True,0.3795242027134408,0.22643437018098697
experiment,EC1,True,0.3623163994144994,0.25292242153116695
experiment,EC1,True,0.3869191188619208,-0.207502896620569
experiment,EC1,True,0.3689659239726147,-0.20831738462932936
experiment,EC1,True,0.4917137440488518,-0.28319309410134497
experiment,EC1,True,0.39836478833421546,0.14420863475734375
experiment,EC1,True,0.31387329144754494,0.09707731354726214
experiment,EC10,True,0.38786331852633943,0.06545849360053355
experiment,EC10,True,0.3467421465832751,0.29580542309875624
experiment,EC10,True,0.3363957863786673,0.3203748992994361
