dataset,kind,rho,chisq
ingv,spike glitch,-0.44349631997818745,2.506423326341354
ingv,spike glitch,0.44686306959403543,4.197508459792338
ingv,spike glitch,0.34634285012520116,4.313440736649508
ingv,spike glitch,-0.5677176869331101,1.6277796030195455
ingv,spike glitch,0.3958457968800701,1.6621674119952974
ingv,spike glitch,-0.4247519935182187,0.871909296709127
ingv,spike glitch,0.38041230727691144,1.7915342954473485
ingv,spike glitch,0.34187124163659716,1.113583232289233
ingv,spike glitch,-0.3793335435154982,1.504276059019782
ingv,spike glitch,-0.4639481281981556,2.3787205107766622
ingv,spike glitch,-0.39225048191710316,0.9406750362204495
ingv,spike glitch,-0.33622405194566685,2.1413791999779415
ingv,spike glitch,-0.34868324678661866,1.9309925602584683
ingv,spike glitch,0.339684983991733,1.5576467595335193
ingv,spike glitch,-0.2794295537178132,4.913118263423252
ingv,spike glitch,0.4245839293463379,2.807419962698498
ingv,spike glitch,-0.5190320001880939,1.0795145809516675
ingv,spike glitch,-0.30671357822731016,5.016682435272991
ingv,spike glitch,-0.3711485201480779,1.5504064248639366
ingv,spike glitch,-0.33980706292263524,6.235837597146132
ingv,spike glitch,-0.2964364344584581,1.8686492199211246
ingv,spike glitch,0.4412355097719228,0.7658000514541845
ingv,spike glitch,-0.5687805911913111,1.5581749752800833
ingv,spike glitch,0.3501528685186044,4.064297826801818
ingv,spike glitch,-0.42161352416278675,2.7826936406979925
ingv,spike glitch,0.26617271951192617,1.8946512757232017
ingv,spike glitch,0.4933544478487221,1.1667560218857236
ingv,spike glitch,0.31292081294855023,2.4827324309242034
ingv,spike glitch,-0.33528598645181623,4.93216962162766
ingv,spike glitch,0.38752149142021197,1.5089333913201128
ingv,spike glitch,0.49281916246941315,0.4967106713968783
ingv,spike glitch,0.6225777489736731,1.819508641788429
ingv,spike glitch,-0.3025637365185036,1.9571051560357342
ingv,spike glitch,-0.3047028107233324,3.023064688298395
ingv,spike glitch,0.42225810353046966,1.7968445804483277
ingv,spike glitch,-0.4330277107575187,2.2900680903782242
ingv,spike glitch,0.4636850632626759,2.8267346698723386
ingv,spike glitch,-0.5490535717126606,1.9923588700110024
ingv,spike glitch,0.35467947146511036,2.629463034480849
ingv,spike glitch,0.3680426686718026,1.8798938600604997
ingv,spike glitch,0.38442753846899946,1.6700049652363202
ingv,spike glitch,0.3736971662184832,4.4165490895775115
ingv,spike glitch,0.3688666868748709,4.090252971153142
ingv,spike glitch,0.40553968814372415,1.2183130412072873
ingv,spike glitch,-0.3458558918516021,2.8483105897531282
ingv,spike glitch,-0.4459881618106127,1.9622115676641922
ingv,spike glitch,0.3215383201805663,3.5375400129379093
ingv,spike glitch,-0.36290141038254603,1.4332073927630362
ingv,spike glitch,-0.33906736473104154,4.038923044073195
ingv,spike glitch,0.44952957199921234,1.6991972199888223
ingv,spike glitch,0.4153933161078156,1.1332397716670473
ingv,spike glitch,0.3830768461273294,1.2266072640580419
ingv,spike glitch,0.33261853810656544,2.2684518024428986
ingv,spike glitch,0.3085119604947585,1.6257264076667974
ingv,spike glitch,0.5116098750427134,0.3189561712024143
ingv,spike glitch,0.41654128337495233,2.2936544186809225
ingv,spike glitch,-0.4431689799071923,1.3099777933682286
ingv,spike glitch,-0.38188929751495965,1.6119110877670888
ingv,spike glitch,-0.41038402570951826,3.152343499393714
ingv,spike glitch,-0.3505387152619655,2.3933056008769364
ingv,spike glitch,-0.459635875784597,3.2817873665553807
ingv,spike glitch,0.41565422473784847,2.497555452711148
ingv,spike glitch,-0.5047645772610895,2.465660879666102
ingv,spike glitch,0.4324491175864839,2.431708481417806
ingv,spike glitch,-0.379032145458665,3.2525417926511557
ingv,spike glitch,0.4442199902823209,3.2395675018236827
ingv,spike glitch,-0.4747517551205928,2.7887616970115494
ingv,spike glitch,-0.3746059468492987,0.6614466300271634
ingv,spike glitch,0.38432048508592853,6.728659399979888
ingv,spike glitch,-0.4183716741428702,3.0995606935292686
ingv,spike glitch,0.44425708981146755,3.329681148772778
ingv,spike glitch,-0.38217532827899564,2.5448016022800015
ingv,spike glitch,0.4389019589287887,2.152125711099638
ingv,spike glitch,-0.34268787314552496,1.4742391153624705
ingv,spike glitch,-0.4395480048046652,4.802137186070955
ingv,spike glitch,0.4597737145100868,0.8069087733374115
ingv,spike glitch,-0.5423516164702126,3.1112753813567835
ingv,spike glitch,-0.6161010390458445,2.339977040183324
ingv,spike glitch,0.3464375959420194,2.3859264361801378
ingv,spike glitch,-0.489456273976692,1.30111620923958
ingv,spike glitch,-0.32513567865599335,1.5027429131857786
ingv,spike glitch,-0.4950686177890608,0.6299140432518839
ingv,spike glitch,-0.3590384189852245,4.8547837644132095
ingv,spike glitch,0.33448497701540764,2.895464881246332
ingv,spike glitch,-0.2782585758594676,4.691412386551268
ingv,spike glitch,-0.4210061388165938,7.58593795593773
ingv,spike glitch,-0.5000260971824056,1.8942112428251958
ingv,spike glitch,-0.5052475544617926,3.176849586943848
ingv,spike glitch,-0.40976919629079545,2.3656150897479837
ingv,spike glitch,0.35441337636150266,0.4279569738039504
ingv,noise,0.34383266848963223,2.5147493322208474
ingv,noise,0.37506215135650195,1.3039032164507522
ingv,noise,-0.30256373651850327,1.9571051560357342
ingv,noise,-0.41553773263817245,1.6520348774254052
ingv,noise,0.41672077882305475,1.6091245884756045
ingv,noise,-0.35500227602980905,2.7115124409046856
ingv,noise,0.509083418563147,1.692473705073373
ingv,noise,0.3627241581010436,3.6478295369097937
ingv,noise,0.29963304538234153,4.871609000533948
ingv,noise,-0.38700383226225826,3.2090944928579725
ingv,noise,-0.33733888845188487,2.8040297422260614
ingv,noise,-0.4302261386530332,3.0576453910521675
ingv,noise,0.3616409296924132,2.0584593525343426
ingv,noise,0.3960008777544913,1.2755653761943864
ingv,noise,-0.3301210630438929,0.9629738717221559
ingv,noise,-0.41250961887653625,1.3795030897625913
ingv,noise,-0.40401688252202034,3.31454985491055
ingv,noise,0.3265045572860939,4.744121748875571
ingv,noise,-0.4184009915138123,3.5298179521583988
ingv,noise,-0.4331429636097473,2.8010626626320168
ingv,noise,-0.3947789214416178,4.603553491354363
ingv,noise,0.3202201725429701,5.091611197863885
ingv,noise,0.3613292579125914,0.6651171048131322
ingv,noise,0.4776143309828219,1.1221716073254782
ingv,noise,0.5038407791017097,2.5247022633254748
ingv,noise,-0.454292981044818,1.1777176009085242
ingv,noise,0.32927361894101376,2.852196426193049
ingv,noise,-0.31328524638234756,3.400746210368167
ingv,noise,0.3021724992291246,1.3371911712998688
ingv,noise,-0.34893233133112694,3.018338448490241
ingv,noise,0.4265420022340208,4.136860451596677
ingv,noise,0.4321324058979933,0.6617561802897872
ingv,noise,0.34634285012520116,4.313440736649508
ingv,noise,-0.5677176869331101,1.6277796030195455
ingv,noise,0.39584579688007016,1.6621674119952974
ingv,noise,-0.42475199351821874,0.871909296709127
ingv,noise,0.3931603175041019,3.033351360464154
ingv,noise,0.3418712416365982,1.113583232289233
ingv,noise,0.34537592979930026,4.346212404114165
ingv,noise,-0.4639481281981556,2.3787205107766622
ingv,noise,-0.39225048191710316,0.9406750362204495
ingv,noise,-0.3782702055310924,2.4945512892500856
ingv,noise,0.4756675490304457,0.8363037301903468
ingv,noise,0.33968498399173336,1.5576467595335193
ingv,noise,0.31368698122302574,4.1574921820655195
ingv,noise,0.4428168801002422,2.5440508569710936
ingv,noise,-0.5190320001880928,1.0795145809516675
ingv,noise,-0.2752507611593409,1.3597814843436975
ingv,noise,0.4169213444970523,1.8002786526788317
ingv,noise,0.32841469503386855,1.3426957335134226
ingv,noise,-0.296436434458458,1.8686492199211246
ingv,noise,0.48576217841101804,1.5704351381962303
ingv,noise,-0.5679090104289392,1.0937461940456625
ingv,noise,0.35015286851860555,4.064297826801818
ingv,noise,-0.5101840754309638,2.135101481291333
ingv,noise,-0.3342469066713939,3.014890754477878
ingv,noise,0.4357337213741348,1.082636977744657
ingv,noise,-0.2742574130737175,2.7117145136591603
ingv,noise,-0.33528598645181723,4.93216962162766
ingv,noise,-0.3960044267009252,3.8325536389698898
ingv,noise,0.49281916246941293,0.4967106713968783
ingv,noise,0.6225777489736732,1.819508641788429
ingv,noise,-0.3025637365185037,1.9571051560357342
ingv,noise,-0.30470281072333105,3.023064688298395
ingv,noise,0.4222581035304703,1.7968445804483277
ingv,noise,-0.44175892322509136,1.5835023687018441
ingv,noise,0.4802612475235789,2.666412420570361
ingv,noise,-0.36178255274749926,1.9864537858746154
ingv,noise,0.3918176338876464,5.96029842709357
ingv,noise,0.46893972329877726,1.8699954141682043
ingv,noise,0.3844384797561181,1.6700747564754763
ingv,noise,0.3736971662184841,4.4165490895775115
ingv,noise,0.3688666868748708,4.090252971153142
ingv,noise,0.40553968814372415,1.2183130412072873
ingv,noise,-0.31274150123100586,1.206820091972885
ingv,noise,-0.4459881618106127,1.9622115676641922
ingv,noise,0.3215383201805662,3.5375400129379093
ingv,noise,-0.362901410382546,1.4332073927630362
ingv,noise,-0.3390673647310416,4.038923044073195
ingv,noise,0.496622738475744,1.8359969493935615
ingv,noise,0.4153933161078148,1.1332397716670473
ingv,noise,0.46132661461614133,1.4342920765397966
ingv,noise,-0.3951222670490744,4.150896750838691
ingv,noise,-0.3498567424067941,2.279617325175259
ingv,noise,0.5116109484818352,0.31891338815929454
ingv,noise,0.41654128337495233,2.2936544186809225
ingv,noise,-0.44392284120810965,1.3103105022513524
ingv,noise,-0.38188929751495954,1.6119110877670888
ingv,noise,-0.3429703164077753,2.048026053086789
ingv,noise,0.39275621280653117,1.2852638125004765
ingv,noise,-0.44094314217813385,1.1397397468861963
ingv,noise,0.4219784034808017,2.2947901983552965
ingv,noise,-0.4616248911322259,1.8512593909899258
ingv,noise,0.5277147928743576,2.854774628829827
ingv,noise,0.5315483492727489,1.3592210387364267
ingv,noise,0.43543665532335646,2.3933497374428137
ingv,noise,-0.4747517551205928,2.7887616970115494
ingv,noise,-0.37119808327400017,1.031593386082976
ingv,noise,-0.3980405207354844,2.1687495711930884
ingv,noise,-0.3732925749036675,2.289973835777539
ingv,noise,0.44425708981146755,3.329681148772778
ingv,noise,-0.38217532827899564,2.5448016022800015
ingv,noise,0.520953850636596,2.7626565568605845
ingv,noise,-0.34268787314552496,1.4742391153624705
ingv,noise,-0.4000925017214402,3.707444137525775
ingv,noise,0.4597737145100868,0.8069087733374115
ingv,noise,-0.38054250337671225,0.6620915434437316
ingv,noise,0.6093714354673487,0.5293598869166598
ingv,noise,0.3464375959420194,2.3859264361801378
ingv,noise,-0.489456273976692,1.30111620923958
ingv,noise,-0.3251356786559942,1.5027429131857786
ingv,noise,-0.6164614412775696,0.4830852635594343
ingv,noise,0.34243724805027764,4.6014641726706405
ingv,noise,-0.38866381039776415,1.9842631708093847
ingv,noise,0.24205332292940945,5.257768199449059
ingv,noise,0.4516172491644587,0.9280435348877991
ingv,noise,0.43838477688033,1.4115737997161104
ingv,noise,-0.461201614213669,0.7435734710325204
ingv,noise,-0.4097691962907954,2.3656150897479837
ingv,noise,0.3126494351461027,1.6455352010243158
experiment,real signal,0.8996547077012265,0.16860081548848338
experiment,real signal,0.9527306811729144,0.023364201762659673
experiment,real signal,0.8468548908794744,0.06805580671949
experiment,real signal,0.9539080480623207,0.06529175133410497
experiment,real signal,0.8773367299942887,0.27032374854698954
experiment,real signal,0.8898033490718178,0.3285005808968761
experiment,real signal,0.9090694464381261,0.2843380919136051
experiment,real signal,0.9189848780355369,0.07988819796366217
experiment,real signal,0.8819239719084477,0.02737381593908561
experiment,real signal,0.8961636276024949,0.21126251144427144
experiment,real signal,0.8956093740145803,0.2549116004297854
experiment,real signal,0.88249529659155,0.21371938873285154
experiment,real signal,0.8557704625100321,0.3980377821659258
experiment,real signal,0.9129047921094593,0.06321336863416639
experiment,real signal,0.8933767594611731,0.12175366946440493
experiment,real signal,0.9045157016002381,0.08700250993971262
experiment,real signal,0.8863346697244933,0.18788716256897173
experiment,real signal,0.9239134262720247,0.15575247227786265
experiment,real signal,0.9095695494792473,0.5672395973502048
experiment,real signal,0.8875650821542156,0.3033660282589223
experiment,real signal,0.896331758131423,0.05560172253141514
experiment,real signal,0.7616886057187482,0.2745186817487342
experiment,real signal,0.8876281741598273,0.3413371412403227
experiment,real signal,0.9074956766035543,0.2979956331867125
experiment,real signal,0.8757103399675183,0.11155648010590001
experiment,real signal,0.9492347546348251,0.1223780762750868
experiment,real signal,0.9629819992705009,0.06014332307005398
experiment,real signal,0.8807110882951253,0.46879168017972167
experiment,real signal,0.8498663650281806,0.131411637549946
experiment,real signal,0.8947147809062653,0.2178778826117182
experiment,real signal,0.9057533147957534,0.3307092734082495
experiment,real signal,0.9003977738578198,0.08539255384008226
experiment,real signal,0.8994853593803855,0.2859257615820271
experiment,real signal,0.8879035689907594,0.2084218125207029
experiment,real signal,0.8683626836953799,0.1423472985886079
experiment,real signal,0.8917726152922287,0.2878391922152647
experiment,real signal,0.892411737244471,0.24456938119473137
experiment,real signal,0.9173030665211882,0.1444222833047214
experiment,real signal,0.9075218908102289,0.12110745317220385
experiment,real signal,0.8346922862389524,0.12554264872543874
experiment,real signal,0.8871869215172312,0.20681805182865526
experiment,real signal,0.9104994807387959,0.2961085635068633
experiment,real signal,0.8803372470444191,0.149041856903409
experiment,real signal,0.8918402075642934,0.4804334515892374
experiment,real signal,0.8901509977053642,0.27844149209068236
