dataset,station,sim,template,csv_path,meta_path,fs,n_samples
experiment,EC1,sim4,template1,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim4,template2,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC1,sim4,template3,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC1,sim4,template4,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC1_sim4_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC10,sim1,template1,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim1,template2,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim1,template3,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC10,sim1,template4,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim1_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC10,sim2,template1,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim2,template2,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
